title,SGR_id
Guidelines for the use and interpretation of assays for monitoring autophagy (4th edition)1,85102619204
A multi-dimensional search for new heavy resonances decaying to boosted WW  WZ  or ZZ boson pairs in the dijet final state at 13 Te,85081746798
Measurement of electroweak production of a W boson in association with two jets in proton–proton collisions at √s=13Te,85078291200
Evidence for WW production from double-parton interactions in proton–proton collisions at √s=13TeV,85078224899
Search for a heavy pseudoscalar boson decaying to a Z and a Higgs boson at √s=13Te,85068779831
Search for heavy resonances decaying to Z (ν ν ¯)V (q q ¯ ′) in proton-proton collisions at s =13 TeV,85136131307
Combined measurements of Higgs boson couplings in proton–proton collisions at √s=13Te,85066045697
Search for new physics in dijet angular distributions using proton–proton collisions at √s=13TeV and constraints on dark matter and other models,85053928588
Combination of the W boson polarization measurements in top quark decays using ATLAS and CMS data at √s = 8 TeV,85090035581
Combinations of single-top-quark production cross-section measurements and |f LV Vtb| determinations at √s = 7 and 8 TeV with the ATLAS and CMS experiments,85066067505
Combination of inclusive and differential tt¯ charge asymmetry measurements using ATLAS and CMS data at √s = 7 and 8 TeV,85048748130
Measurement of the t t ¯ production cross section the top quark mass and the strong coupling constant using dilepton events in pp collisions at √s=13Te,85065028824
International consensus statement on allergy and rhinology: rhinosinusitis 2021,85102586381
Search for production of four top quarks in final states with same-sign or multiple leptons in proton–proton collisions at √s=13TeV,85078848913
Search for resonances decaying to three W bosons in the hadronic final state in proton-proton collisions at s =13 TeV,85135447043
Measurement of differential cross sections for Z boson production in association with jets in proton-proton collisions at √s=13TeV,85056995413
Measurement of exclusive ρ(770)0 photoproduction in ultraperipheral pPb collisions at √sNN=5.02Te,85071149423
Azimuthal separation in nearly back-to-back jet topologies in inclusive 2- and 3-jet events in pp collisions at √s=13Te,85073079070
Measurement of the average very forward energy as a function of the track multiplicity at central pseudorapidities in proton-proton collisions at √s=13TeV,85074765094
EAACI Molecular Allergology User's Guide 2.0,85153787295
Measurement of the energy density as a function of pseudorapidity in proton–proton collisions at √s=13TeV,85065489028
