date,subject_area,count
2020,Psychiatric Mental Health,1
2019,Psychiatric Mental Health,1
2018,Psychiatric Mental Health,0
2022,Psychiatric Mental Health,1
2023,Psychiatric Mental Health,1
2021,Psychiatric Mental Health,2
2020,Numerical Analysis,1
2019,Numerical Analysis,1
2018,Numerical Analysis,4
2022,Numerical Analysis,7
2023,Numerical Analysis,3
2021,Numerical Analysis,1
2020,Archeology,5
2019,Archeology,3
2018,Archeology,1
2022,Archeology,1
2023,Archeology,3
2021,Archeology,2
2020,Religious Studies,3
2019,Religious Studies,1
2018,Religious Studies,2
2022,Religious Studies,10
2023,Religious Studies,4
2021,Religious Studies,6
2020,"Business, Management and Accounting (miscellaneous)",11
2019,"Business, Management and Accounting (miscellaneous)",6
2018,"Business, Management and Accounting (miscellaneous)",6
2022,"Business, Management and Accounting (miscellaneous)",10
2023,"Business, Management and Accounting (miscellaneous)",7
2021,"Business, Management and Accounting (miscellaneous)",8
2020,Spectroscopy,34
2019,Spectroscopy,35
2018,Spectroscopy,28
2022,Spectroscopy,55
2023,Spectroscopy,48
2021,Spectroscopy,39
2020,"Statistics, Probability and Uncertainty",12
2019,"Statistics, Probability and Uncertainty",2
2018,"Statistics, Probability and Uncertainty",1
2022,"Statistics, Probability and Uncertainty",13
2023,"Statistics, Probability and Uncertainty",8
2021,"Statistics, Probability and Uncertainty",5
2020,Linguistics and Language,24
2019,Linguistics and Language,17
2018,Linguistics and Language,8
2022,Linguistics and Language,34
2023,Linguistics and Language,20
2021,Linguistics and Language,31
2020,Signal Processing,19
2019,Signal Processing,35
2018,Signal Processing,25
2022,Signal Processing,43
2023,Signal Processing,26
2021,Signal Processing,20
2020,Political Science and International Relations,11
2019,Political Science and International Relations,13
2018,Political Science and International Relations,7
2022,Political Science and International Relations,10
2023,Political Science and International Relations,10
2021,Political Science and International Relations,11
2020,Veterinary (all),73
2019,Veterinary (all),73
2018,Veterinary (all),94
2022,Veterinary (all),122
2023,Veterinary (all),49
2021,Veterinary (all),96
2020,Orthodontics,4
2019,Orthodontics,4
2018,Orthodontics,6
2022,Orthodontics,8
2023,Orthodontics,4
2021,Orthodontics,4
2020,Philosophy,1
2019,Philosophy,2
2018,Philosophy,2
2022,Philosophy,3
2023,Philosophy,4
2021,Philosophy,3
2020,Archeology (arts and humanities),3
2019,Archeology (arts and humanities),3
2018,Archeology (arts and humanities),2
2022,Archeology (arts and humanities),1
2023,Archeology (arts and humanities),3
2021,Archeology (arts and humanities),3
2020,Public Administration,3
2019,Public Administration,3
2018,Public Administration,4
2022,Public Administration,6
2023,Public Administration,3
2021,Public Administration,2
2020,Microbiology,52
2019,Microbiology,38
2018,Microbiology,49
2022,Microbiology,62
2023,Microbiology,45
2021,Microbiology,68
2020,Orthopedics and Sports Medicine,23
2019,Orthopedics and Sports Medicine,30
2018,Orthopedics and Sports Medicine,15
2022,Orthopedics and Sports Medicine,45
2023,Orthopedics and Sports Medicine,36
2021,Orthopedics and Sports Medicine,35
2020,Theoretical Computer Science,13
2019,Theoretical Computer Science,8
2018,Theoretical Computer Science,9
2022,Theoretical Computer Science,10
2023,Theoretical Computer Science,11
2021,Theoretical Computer Science,5
2020,Food Animals,13
2019,Food Animals,8
2018,Food Animals,9
2022,Food Animals,8
2023,Food Animals,4
2021,Food Animals,5
2020,Automotive Engineering,7
2019,Automotive Engineering,6
2018,Automotive Engineering,7
2022,Automotive Engineering,11
2023,Automotive Engineering,9
2021,Automotive Engineering,20
2020,Materials Science (miscellaneous),5
2019,Materials Science (miscellaneous),1
2018,Materials Science (miscellaneous),5
2022,Materials Science (miscellaneous),19
2023,Materials Science (miscellaneous),26
2021,Materials Science (miscellaneous),15
2020,Horticulture,6
2019,Horticulture,7
2018,Horticulture,14
2022,Horticulture,9
2023,Horticulture,10
2021,Horticulture,5
2020,Medicine (miscellaneous),14
2019,Medicine (miscellaneous),22
2018,Medicine (miscellaneous),24
2022,Medicine (miscellaneous),43
2023,Medicine (miscellaneous),30
2021,Medicine (miscellaneous),40
2020,Neurology (clinical),42
2019,Neurology (clinical),49
2018,Neurology (clinical),32
2022,Neurology (clinical),64
2023,Neurology (clinical),67
2021,Neurology (clinical),60
2020,Cognitive Neuroscience,2
2019,Cognitive Neuroscience,3
2018,Cognitive Neuroscience,3
2022,Cognitive Neuroscience,12
2023,Cognitive Neuroscience,3
2021,Cognitive Neuroscience,13
2020,Molecular Medicine,58
2019,Molecular Medicine,40
2018,Molecular Medicine,40
2022,Molecular Medicine,86
2023,Molecular Medicine,45
2021,Molecular Medicine,79
2020,Radiological and Ultrasound Technology,6
2019,Radiological and Ultrasound Technology,15
2018,Radiological and Ultrasound Technology,5
2022,Radiological and Ultrasound Technology,8
2023,Radiological and Ultrasound Technology,3
2021,Radiological and Ultrasound Technology,9
2020,Nephrology,37
2019,Nephrology,22
2018,Nephrology,17
2022,Nephrology,38
2023,Nephrology,33
2021,Nephrology,29
2020,Management Information Systems,28
