subject_area,date,aggregationType
Molecular Biology,2021,Journal
Cell Biology,2021,Journal
Engineering (miscellaneous),2020,Journal
Physics and Astronomy (miscellaneous),2020,Journal
Engineering (miscellaneous),2020,Journal
Physics and Astronomy (miscellaneous),2020,Journal
Engineering (miscellaneous),2020,Journal
Physics and Astronomy (miscellaneous),2020,Journal
Engineering (miscellaneous),2019,Journal
Physics and Astronomy (miscellaneous),2019,Journal
Nuclear and High Energy Physics,2022,Journal
Engineering (miscellaneous),2019,Journal
Physics and Astronomy (miscellaneous),2019,Journal
Engineering (miscellaneous),2018,Journal
Physics and Astronomy (miscellaneous),2018,Journal
Nuclear and High Energy Physics,2020,Journal
Nuclear and High Energy Physics,2019,Journal
Nuclear and High Energy Physics,2018,Journal
Engineering (miscellaneous),2019,Journal
Physics and Astronomy (miscellaneous),2019,Journal
Immunology and Allergy,2021,Journal
Otorhinolaryngology,2021,Journal
Engineering (miscellaneous),2020,Journal
Physics and Astronomy (miscellaneous),2020,Journal
Nuclear and High Energy Physics,2022,Journal
Engineering (miscellaneous),2018,Journal
Physics and Astronomy (miscellaneous),2018,Journal
Engineering (miscellaneous),2019,Journal
Physics and Astronomy (miscellaneous),2019,Journal
Engineering (miscellaneous),2019,Journal
Physics and Astronomy (miscellaneous),2019,Journal
Engineering (miscellaneous),2019,Journal
Physics and Astronomy (miscellaneous),2019,Journal
"Pediatrics, Perinatology and Child Health",2023,Journal
Immunology and Allergy,2023,Journal
Immunology,2023,Journal
Engineering (miscellaneous),2019,Journal
Physics and Astronomy (miscellaneous),2019,Journal
Engineering (miscellaneous),2018,Journal
Physics and Astronomy (miscellaneous),2018,Journal
Engineering (miscellaneous),2018,Journal
Physics and Astronomy (miscellaneous),2018,Journal
Nuclear and High Energy Physics,2021,Journal
Nuclear and High Energy Physics,2022,Journal
Nuclear and High Energy Physics,2021,Journal
Nuclear and High Energy Physics,2021,Journal
Nuclear and High Energy Physics,2022,Journal
Physics and Astronomy (all),2022,Journal
Nuclear and High Energy Physics,2021,Journal
Nuclear and High Energy Physics,2021,Journal
Physics and Astronomy (all),2022,Journal
Nuclear and High Energy Physics,2022,Journal
Nuclear and High Energy Physics,2022,Journal
Nuclear and High Energy Physics,2022,Journal
Nuclear and High Energy Physics,2022,Journal
Nuclear and High Energy Physics,2023,Journal
Nuclear and High Energy Physics,2023,Journal
Nuclear and High Energy Physics,2022,Journal
Nuclear and High Energy Physics,2021,Journal
Nuclear and High Energy Physics,2022,Journal
Nuclear and High Energy Physics,2022,Journal
Nuclear and High Energy Physics,2020,Journal
Nuclear and High Energy Physics,2021,Journal
Physics and Astronomy (all),2023,Journal
Nuclear and High Energy Physics,2020,Journal
Nuclear and High Energy Physics,2021,Journal
Nuclear and High Energy Physics,2021,Journal
Physics and Astronomy (all),2022,Journal
Nuclear and High Energy Physics,2022,Journal
Nuclear and High Energy Physics,2022,Journal
Nuclear and High Energy Physics,2022,Journal
Nuclear and High Energy Physics,2021,Journal
Nuclear and High Energy Physics,2022,Journal
Engineering (miscellaneous),2021,Journal
Physics and Astronomy (miscellaneous),2021,Journal
Nuclear and High Energy Physics,2021,Journal
Nuclear and High Energy Physics,2022,Journal
Multidisciplinary,2022,Journal
Nuclear and High Energy Physics,2022,Journal
Nuclear and High Energy Physics,2022,Journal
Nuclear and High Energy Physics,2023,Journal
Nuclear and High Energy Physics,2021,Journal
Physics and Astronomy (all),2022,Journal
Nuclear and High Energy Physics,2022,Journal
Nuclear and High Energy Physics,2022,Journal
Nuclear and High Energy Physics,2022,Journal
Nuclear and High Energy Physics,2021,Journal
Physics and Astronomy (all),2021,Journal
Physics and Astronomy (all),2021,Journal
Nuclear and High Energy Physics,2022,Journal
Nuclear and High Energy Physics,2021,Journal
Nuclear and High Energy Physics,2021,Journal
Physics and Astronomy (all),2021,Journal
Nuclear and High Energy Physics,2022,Journal
Nuclear and High Energy Physics,2021,Journal
Nuclear and High Energy Physics,2021,Journal
Nuclear and High Energy Physics,2020,Journal
Nuclear and High Energy Physics,2021,Journal
Nuclear and High Energy Physics,2022,Journal
Nuclear and High Energy Physics,2022,Journal
Nuclear and High Energy Physics,2023,Journal
Nuclear and High Energy Physics,2020,Journal
Nuclear and High Energy Physics,2023,Journal
Physics and Astronomy (all),2021,Journal
Nuclear and High Energy Physics,2022,Journal
Nuclear and High Energy Physics,2022,Journal
Nuclear and High Energy Physics,2021,Journal
Nuclear and High Energy Physics,2023,Journal
Instrumentation,2022,Journal
Mathematical Physics,2022,Journal
Nuclear and High Energy Physics,2022,Journal
Nuclear and High Energy Physics,2022,Journal
Physics and Astronomy (all),2022,Journal
Nuclear and High Energy Physics,2020,Journal
Nuclear and High Energy Physics,2023,Journal
Engineering (miscellaneous),2021,Journal
Physics and Astronomy (miscellaneous),2021,Journal
Nuclear and High Energy Physics,2021,Journal
Nuclear and High Energy Physics,2023,Journal
Nuclear and High Energy Physics,2020,Journal
Engineering (miscellaneous),2023,Journal
Physics and Astronomy (miscellaneous),2023,Journal
Instrumentation,2022,Journal
